wfName,taskName,nodeName,rank
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,z1d.xlarge,7
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,z1d.2xlarge,16
nfcore/chipseq:1.2.2,MACS2_QC,m5.large,6
nfcore/chipseq:1.2.2,MACS2_QC,m5.xlarge,22
nfcore/chipseq:1.2.2,MACS2_QC,m5.2xlarge,27
nfcore/chipseq:1.2.2,MACS2_QC,m5a.large,14
nfcore/chipseq:1.2.2,MACS2_QC,m5a.xlarge,23
nfcore/chipseq:1.2.2,MACS2_QC,m5a.2xlarge,20
nfcore/chipseq:1.2.2,MACS2_QC,m5zn.large,13
nfcore/chipseq:1.2.2,MACS2_QC,m5zn.xlarge,11
nfcore/chipseq:1.2.2,MACS2_QC,m5zn.2xlarge,8
nfcore/chipseq:1.2.2,MACS2_QC,c5.xlarge,9
nfcore/chipseq:1.2.2,MACS2_QC,c5.2xlarge,4
nfcore/chipseq:1.2.2,MACS2_QC,c5a.xlarge,12
nfcore/chipseq:1.2.2,MACS2_QC,c5a.2xlarge,10
nfcore/chipseq:1.2.2,MACS2_QC,r5.large,18
nfcore/chipseq:1.2.2,MACS2_QC,r5.xlarge,2
nfcore/chipseq:1.2.2,MACS2_QC,r5.2xlarge,16
nfcore/chipseq:1.2.2,MACS2_QC,r5a.large,24
nfcore/chipseq:1.2.2,MACS2_QC,r5a.xlarge,1
nfcore/chipseq:1.2.2,MACS2_QC,r5a.2xlarge,21
nfcore/chipseq:1.2.2,MACS2_QC,d3.xlarge,5
nfcore/chipseq:1.2.2,MACS2_QC,d3.2xlarge,3
nfcore/chipseq:1.2.2,MACS2_QC,i3.large,19
nfcore/chipseq:1.2.2,MACS2_QC,i3.xlarge,25
nfcore/chipseq:1.2.2,MACS2_QC,i3.2xlarge,26
nfcore/chipseq:1.2.2,MACS2_QC,z1d.large,15
nfcore/chipseq:1.2.2,MACS2_QC,z1d.xlarge,7
nfcore/chipseq:1.2.2,MACS2_QC,z1d.2xlarge,17
nfcore/chipseq:1.2.2,MERGED_BAM,m5.large,7
nfcore/chipseq:1.2.2,MERGED_BAM,m5.xlarge,19
nfcore/chipseq:1.2.2,MERGED_BAM,m5.2xlarge,27
nfcore/chipseq:1.2.2,MERGED_BAM,m5a.large,17
nfcore/chipseq:1.2.2,MERGED_BAM,m5a.xlarge,22
nfcore/chipseq:1.2.2,MERGED_BAM,m5a.2xlarge,21
nfcore/chipseq:1.2.2,MERGED_BAM,m5zn.large,13
nfcore/chipseq:1.2.2,MERGED_BAM,m5zn.xlarge,11
nfcore/chipseq:1.2.2,MERGED_BAM,m5zn.2xlarge,8
nfcore/chipseq:1.2.2,MERGED_BAM,c5.xlarge,9
nfcore/chipseq:1.2.2,MERGED_BAM,c5.2xlarge,4
nfcore/chipseq:1.2.2,MERGED_BAM,c5a.xlarge,10
nfcore/chipseq:1.2.2,MERGED_BAM,c5a.2xlarge,12
nfcore/chipseq:1.2.2,MERGED_BAM,r5.large,18
nfcore/chipseq:1.2.2,MERGED_BAM,r5.xlarge,2
nfcore/chipseq:1.2.2,MERGED_BAM,r5.2xlarge,15
nfcore/chipseq:1.2.2,MERGED_BAM,r5a.large,24
nfcore/chipseq:1.2.2,MERGED_BAM,r5a.xlarge,1
nfcore/chipseq:1.2.2,MERGED_BAM,r5a.2xlarge,23
nfcore/chipseq:1.2.2,MERGED_BAM,d3.xlarge,5
nfcore/chipseq:1.2.2,MERGED_BAM,d3.2xlarge,3
nfcore/chipseq:1.2.2,MERGED_BAM,i3.large,20
nfcore/chipseq:1.2.2,MERGED_BAM,i3.xlarge,25
nfcore/chipseq:1.2.2,MERGED_BAM,i3.2xlarge,26
nfcore/chipseq:1.2.2,MERGED_BAM,z1d.large,16
nfcore/chipseq:1.2.2,MERGED_BAM,z1d.xlarge,6
nfcore/chipseq:1.2.2,MERGED_BAM,z1d.2xlarge,14
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5.large,6
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5.xlarge,20
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5.2xlarge,27
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5a.large,14
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5a.xlarge,22
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5a.2xlarge,19
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5zn.large,13
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5zn.xlarge,12
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,m5zn.2xlarge,11
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,c5.xlarge,10
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,c5.2xlarge,4
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,c5a.xlarge,7
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,c5a.2xlarge,9
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5.large,18
nfcore/chipseq:1.2.2,MERGED_BAM_FILTER,r5.xlarge,2
