wfName,nodeName,taskName,realtime
nfcore/eager:2.3.5,r5.large,makeSeqDict,2240.4
nfcore/eager:2.3.5,m5a.2xlarge,makeSeqDict,2383.6
nfcore/eager:2.3.5,i3.2xlarge,makeSeqDict,2428.2
nfcore/eager:2.3.5,r5a.2xlarge,makeSeqDict,2453.8
nfcore/eager:2.3.5,m5a.large,makeSeqDict,2511.2
nfcore/eager:2.3.5,m5a.xlarge,makeSeqDict,2536.0
nfcore/eager:2.3.5,r5a.xlarge,makeSeqDict,2573.8
nfcore/eager:2.3.5,i3.xlarge,makeSeqDict,2881.8
nfcore/eager:2.3.5,r5a.large,makeSeqDict,2970.8
nfcore/eager:2.3.5,i3.large,makeSeqDict,3403.4
nfcore/eager:2.3.5,m5zn.large,markduplicates,1679.7
nfcore/eager:2.3.5,z1d.large,markduplicates,1829.3
nfcore/eager:2.3.5,c5a.xlarge,markduplicates,1890.2
nfcore/eager:2.3.5,m5zn.xlarge,markduplicates,1902.4
nfcore/eager:2.3.5,z1d.xlarge,markduplicates,2049.3
nfcore/eager:2.3.5,m5zn.2xlarge,markduplicates,2106.4
nfcore/eager:2.3.5,m5.large,markduplicates,2209.2
nfcore/eager:2.3.5,r5.large,markduplicates,2213.5
nfcore/eager:2.3.5,c5a.2xlarge,markduplicates,2219.5
nfcore/eager:2.3.5,z1d.2xlarge,markduplicates,2260.9
nfcore/eager:2.3.5,m5a.large,markduplicates,2314.4
nfcore/eager:2.3.5,r5a.large,markduplicates,2331.7
nfcore/eager:2.3.5,c5.xlarge,markduplicates,2348.0
nfcore/eager:2.3.5,c5.2xlarge,markduplicates,2374.9
nfcore/eager:2.3.5,d3.xlarge,markduplicates,2585.7
nfcore/eager:2.3.5,m5.xlarge,markduplicates,2593.2
nfcore/eager:2.3.5,r5.xlarge,markduplicates,2626.3
nfcore/eager:2.3.5,d3.2xlarge,markduplicates,2781.3
nfcore/eager:2.3.5,m5a.xlarge,markduplicates,2817.5
