wfName,taskName,nodeName,rank
nfcore/sarek:2.7.1,get_software_versions,m5a.2xlarge,23.088607594936708
nfcore/sarek:2.7.1,get_software_versions,r5a.2xlarge,24.189873417721518
nfcore/sarek:2.7.1,get_software_versions,i3.xlarge,24.27848101265823
nfcore/sarek:2.7.1,MarkDuplicates,c5a.2xlarge,6.417721518987341
nfcore/sarek:2.7.1,MarkDuplicates,c5a.xlarge,5.670886075949367
nfcore/sarek:2.7.1,MarkDuplicates,m5zn.2xlarge,4.012658227848101
nfcore/sarek:2.7.1,MarkDuplicates,z1d.2xlarge,6.949367088607595
nfcore/sarek:2.7.1,MarkDuplicates,c5.2xlarge,5.253164556962025
nfcore/sarek:2.7.1,MarkDuplicates,m5zn.xlarge,4.151898734177215
nfcore/sarek:2.7.1,MarkDuplicates,m5zn.large,2.670886075949367
nfcore/sarek:2.7.1,MarkDuplicates,c5.xlarge,8.30379746835443
nfcore/sarek:2.7.1,MarkDuplicates,m5.2xlarge,15.60759493670886
nfcore/sarek:2.7.1,MarkDuplicates,d3.2xlarge,14.443037974683545
nfcore/sarek:2.7.1,MarkDuplicates,r5.2xlarge,15.544303797468354
nfcore/sarek:2.7.1,MarkDuplicates,z1d.large,6.177215189873418
nfcore/sarek:2.7.1,MarkDuplicates,m5a.2xlarge,23.088607594936708
nfcore/sarek:2.7.1,MarkDuplicates,z1d.xlarge,6.974683544303797
nfcore/sarek:2.7.1,MarkDuplicates,r5a.2xlarge,24.189873417721518
nfcore/sarek:2.7.1,MarkDuplicates,m5a.large,20.139240506329113
nfcore/sarek:2.7.1,MarkDuplicates,d3.xlarge,12.341772151898734
nfcore/sarek:2.7.1,MarkDuplicates,m5.xlarge,15.063291139240507
nfcore/sarek:2.7.1,MarkDuplicates,m5a.xlarge,22.075949367088608
nfcore/sarek:2.7.1,MarkDuplicates,m5.large,13.430379746835444
nfcore/sarek:2.7.1,MarkDuplicates,r5a.xlarge,22.10126582278481
nfcore/sarek:2.7.1,MarkDuplicates,r5.xlarge,15.60759493670886
nfcore/sarek:2.7.1,MarkDuplicates,r5.large,13.89873417721519
nfcore/sarek:2.7.1,MarkDuplicates,i3.2xlarge,22.645569620253166
nfcore/sarek:2.7.1,MarkDuplicates,r5a.large,20.82278481012658
nfcore/sarek:2.7.1,MarkDuplicates,i3.large,22.164556962025316
nfcore/sarek:2.7.1,MarkDuplicates,i3.xlarge,24.27848101265823
nfcore/sarek:2.7.1,MultiQC,m5zn.2xlarge,4.012658227848101
nfcore/sarek:2.7.1,MultiQC,z1d.2xlarge,6.949367088607595
nfcore/sarek:2.7.1,MultiQC,m5zn.large,2.670886075949367
nfcore/sarek:2.7.1,MultiQC,m5zn.xlarge,4.151898734177215
nfcore/sarek:2.7.1,MultiQC,z1d.large,6.177215189873418
nfcore/sarek:2.7.1,MultiQC,c5.2xlarge,5.253164556962025
nfcore/sarek:2.7.1,MultiQC,z1d.xlarge,6.974683544303797
nfcore/sarek:2.7.1,MultiQC,d3.2xlarge,14.443037974683545
nfcore/sarek:2.7.1,MultiQC,c5a.2xlarge,6.417721518987341
nfcore/sarek:2.7.1,MultiQC,m5.2xlarge,15.60759493670886
nfcore/sarek:2.7.1,MultiQC,r5.2xlarge,15.544303797468354
