task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
262	1c/fa8cb2	3764460	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:59:52.632	2.4s	1s	91.2%	11.1 MB	16.9 MB	69.8 MB	9.5 MB
258	c8/8ece67	3766659	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_CONTROLFREEC:MAKEGRAPH (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:59:54.310	10s	9s	101.0%	182.6 MB	4.2 GB	24.5 MB	153.6 KB
259	bd/c9bdf2	3764452	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_CONTROLFREEC:ASSESS_SIGNIFICANCE (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:59:52.630	54.6s	53s	99.6%	706.8 MB	4.8 GB	47.8 MB	34.4 KB
166	6a/54f1dc	3393328	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_CNVKIT:CNVKIT_BATCH (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 18:29:58.859	1h 31m 36s	1h 31m 35s	137.5%	2.5 GB	23.4 GB	341.4 GB	29.4 GB
249	61/c350f1	3742714	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:57:45.528	8m 39s	8m 39s	527.0%	2.7 GB	2.8 GB	27.4 GB	959.5 MB
263	38/5b118b	3800392	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:06:24.647	6.4s	6s	92.8%	11.2 MB	16.3 MB	406.2 MB	58.2 MB
179	cd/439745	3644449	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUTECT2:MUTECT2_PAIRED (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 19:29:33.597	1h 28m 16s	1h 28m 16s	129.3%	3.6 GB	39.8 GB	12.8 GB	10.7 MB
265	5b/16f425	3821998	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUTECT2:MERGEMUTECTSTATS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:57:50.035	5.2s	4s	181.9%	140.4 MB	15.1 GB	101.1 MB	682.4 KB
264	b1/ec2a5f	3821988	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUTECT2:MERGE_MUTECT2 (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:57:50.026	6.2s	5s	179.0%	214.3 MB	6.8 GB	102.7 MB	1.6 MB
266	31/8e9b6d	3821990	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUTECT2:LEARNREADORIENTATIONMODEL (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:57:50.030	1m 28s	1m 28s	109.8%	2.1 GB	15.1 GB	125.7 MB	18.6 MB
267	e1/efd81f	3826324	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_SOMATIC_ALL:BAM_VARIANT_CALLING_SOMATIC_MUTECT2:FILTERMUTECTCALLS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:18.437	20.5s	20s	177.3%	1.5 GB	15.1 GB	5.1 GB	1.8 MB
272	71/2c63f5	3827574	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:BCFTOOLS_STATS (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:38.980	1.2s	0ms	97.1%	13.4 MB	4.2 GB	1.1 MB	20.1 KB
269	73/a835f0	3827750	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:39.342	2.4s	0ms	65.5%	10 MB	28.3 MB	1.1 MB	2.1 KB
268	ad/c649a1	3827745	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:39.337	2.5s	0ms	70.7%	10 MB	28.3 MB	1.1 MB	2.2 KB
270	21/9fa07b	3827754	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:39.346	2.5s	0ms	76.7%	10 MB	28.3 MB	1.1 MB	33.9 KB
273	ca/d707e2	3829122	NFCORE_SAREK:SAREK:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-06-15 20:59:41.873	807ms	190ms	66.9%	5.4 MB	13.1 MB	858.4 KB	13.3 KB
271	4c/756263	3827575	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:ENSEMBLVEP (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 20:59:38.983	2m 46s	2m 45s	290.3%	9.7 GB	9.8 GB	4.3 GB	20 MB
274	d9/a5fd2f	3837360	NFCORE_SAREK:SAREK:VCF_ANNOTATE_ALL:VCF_ANNOTATE_ENSEMBLVEP:TABIX_BGZIPTABIX (HCC1395T_vs_HCC1395N)	COMPLETED	0	2023-06-15 21:02:24.631	910ms	1s	67.6%	5.7 MB	11.6 MB	8.8 MB	1.6 MB
275	17/fb369b	3837383	NFCORE_SAREK:SAREK:MULTIQC	COMPLETED	0	2023-06-15 21:02:24.658	6m 46s	6m 45s	112.7%	250 MB	4.6 GB	7.9 GB	46.4 MB
