task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
170	c1/f593f3	1509140	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:23.733	1.6s	10ms	100.0%	0	0	126.5 KB	31.1 KB
171	74/2bb8a5	1509795	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:24.268	1.7s	0ms	83.9%	9.2 MB	18.1 MB	5.8 MB	6.1 MB
174	bf/8ea19a	1509904	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:24.358	1.7s	11ms	101.6%	0	0	126.5 KB	31.1 KB
175	a6/2128c6	1511303	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:25.333	1.7s	0ms	100.6%	26.6 MB	34.6 MB	5.8 MB	6.1 MB
179	eb/98d5af	1512637	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:NEXTCLADE_RUN (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:26.115	1.7s	0ms	99.3%	21.9 MB	29.7 MB	5.8 MB	6.1 MB
145	c0/cd4fe9	1491147	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:12.389	16.6s	13s	170.1%	654.2 MB	5.3 GB	94.8 MB	11.9 MB
146	d1/f9dd7f	1493474	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:13.450	15.6s	13s	174.1%	495.5 MB	5.3 GB	85 MB	13.3 MB
172	03/887767	1509801	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (SAMPLE2_PE.consensus.fa)	COMPLETED	0	2023-06-16 15:21:24.272	7.6s	5s	104.5%	380.6 MB	4.5 GB	23.2 MB	2.6 MB
177	92/2828c8	1511325	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (SAMPLE1_PE.consensus.fa)	COMPLETED	0	2023-06-16 15:21:25.340	7.5s	5s	103.7%	380.5 MB	4.5 GB	23.2 MB	2.6 MB
180	26/356865	1512641	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (SAMPLE3_SE.consensus.fa)	COMPLETED	0	2023-06-16 15:21:26.118	7.6s	5s	103.9%	380.5 MB	4.5 GB	23.2 MB	2.6 MB
181	95/9eab99	1512737	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:QUAST	COMPLETED	0	2023-06-16 15:21:26.225	8.4s	7s	146.3%	175.3 MB	8.8 GB	488.1 MB	8.1 MB
173	ef/4e658d	1509796	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:24.270	13s	12s	102.8%	436.1 MB	729.1 MB	161.4 MB	871.9 KB
176	15/09a89b	1511309	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:21:25.337	12.2s	12s	103.7%	436.1 MB	729.1 MB	161.3 MB	757.2 KB
178	7f/74da06	1512636	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PANGOLIN (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:26.112	12.2s	11s	103.7%	437.5 MB	730.6 MB	161.3 MB	769.3 KB
182	77/213eb0	1525164	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:MAKE_VARIANTS_LONG_TABLE	COMPLETED	0	2023-06-16 15:21:38.293	2.1s	2s	79.4%	75.9 MB	4.2 GB	10.9 MB	17.9 KB
32	b7/3a2629	1426850	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:20:13.878	1m 40s	1m 38s	170.3%	381.2 MB	12.2 GB	407.5 MB	781.3 MB
184	d5/2082d8	1529544	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_SCAFFOLDS (SAMPLE2_PE.scaffolds.fa.gz)	COMPLETED	0	2023-06-16 15:21:54.082	947ms	10ms	152.4%	0	0	104.7 KB	26.5 KB
183	b5/a3470c	1529539	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_GFA (SAMPLE2_PE.assembly.gfa.gz)	COMPLETED	0	2023-06-16 15:21:54.076	1s	12ms	94.1%	0	0	104.3 KB	26.1 KB
185	cb/708e54	1530293	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:55.040	771ms	0ms	106.0%	15.3 MB	55.6 MB	246.7 KB	1000 B
187	82/fd405b	1530367	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:BANDAGE_IMAGE (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:55.121	1.1s	156ms	103.2%	28.6 MB	123.1 MB	336.3 KB	62.2 KB
188	a3/2f76ce	1530935	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:FILTER_BLASTN (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:55.824	863ms	13ms	133.3%	2.9 MB	3.9 MB	104.3 KB	3 KB
186	8b/10ff6a	1530399	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:ABACAS (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:21:55.151	1.8s	0ms	107.6%	9.3 MB	29.5 MB	1009.1 KB	103.8 KB
41	b9/a7cb13	1429080	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:20:16.384	1m 50s	1m 48s	165.5%	456.5 MB	4.2 GB	349.2 MB	700.3 MB
190	7c/ef5ba6	1532163	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_SCAFFOLDS (SAMPLE3_SE.scaffolds.fa.gz)	COMPLETED	0	2023-06-16 15:22:06.896	975ms	12ms	101.6%	0	0	105.9 KB	30.2 KB
189	11/89c100	1532160	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_GFA (SAMPLE3_SE.assembly.gfa.gz)	COMPLETED	0	2023-06-16 15:22:06.892	999ms	11ms	95.5%	0	0	105.4 KB	29.8 KB
192	74/75d3bc	1532721	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:22:07.881	810ms	0ms	102.1%	15.3 MB	55.6 MB	250.5 KB	774 B
193	a8/c07d41	1532738	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:BANDAGE_IMAGE (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:22:07.901	998ms	175ms	103.8%	29.8 MB	124.5 MB	420.6 KB	76 KB
194	27/b4ff11	1533344	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:FILTER_BLASTN (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:22:08.701	737ms	13ms	128.0%	2.9 MB	3.9 MB	103.4 KB	2 KB
191	89/e1a8ae	1532888	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:ABACAS (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:22:08.192	1.8s	0ms	106.4%	9.4 MB	29.4 MB	1018 KB	98 KB
151	0d/909666	1496766	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:21:16.066	57s	55s	125.9%	705.2 MB	5.3 GB	450.4 MB	47.8 MB
36	cf/a7e7d4	1428901	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:20:16.064	2m 15s	2m 12s	178.6%	469.1 MB	12.2 GB	491.3 MB	906.6 MB
196	6d/02f2e4	1534596	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_GFA (SAMPLE1_PE.assembly.gfa.gz)	COMPLETED	0	2023-06-16 15:22:31.044	1s	12ms	90.1%	0	0	105.4 KB	29.9 KB
195	ce/5edd88	1534591	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:GUNZIP_SCAFFOLDS (SAMPLE1_PE.scaffolds.fa.gz)	COMPLETED	0	2023-06-16 15:22:31.039	1.1s	13ms	133.3%	0	0	105.9 KB	30.3 KB
198	a9/f95c43	1535361	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:BLAST_BLASTN (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:22:32.172	912ms	0ms	100.7%	16.2 MB	55.6 MB	250.5 KB	692 B
197	81/5823b7	1535285	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:BANDAGE_IMAGE (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:22:32.079	1.1s	173ms	104.8%	36.4 MB	131.8 MB	421.2 KB	77 KB
201	94/5ea389	1535954	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:FILTER_BLASTN (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:22:33.094	768ms	12ms	101.6%	0	0	103.4 KB	2.1 KB
199	4e/bdeedd	1535562	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:ABACAS (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:22:32.524	2s	0ms	108.6%	9.4 MB	29.4 MB	1018.3 KB	106.9 KB
200	5e/7f8e49	1535564	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:ASSEMBLY_QC:QUAST	COMPLETED	0	2023-06-16 15:22:32.528	7.4s	6.6s	147.2%	168.2 MB	8.8 GB	490.5 MB	8.1 MB
202	ea/0edaf6	1537202	NFCORE_VIRALRECON:ILLUMINA:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-06-16 15:22:40.054	696ms	142ms	64.9%	3.3 MB	9.8 MB	1000.1 KB	12.2 KB
203	d8/7e5e5d	1537400	NFCORE_VIRALRECON:ILLUMINA:MULTIQC (1)	COMPLETED	0	2023-06-16 15:22:40.769	20.8s	20.1s	103.4%	159.8 MB	4.5 GB	114.4 MB	26.5 MB
