wfName,nodeName,taskName,realtime
nfcore/viralrecon:2.1,m5zn.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,1866.6666666666667
nfcore/viralrecon:2.1,c5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,1866.6666666666667
nfcore/viralrecon:2.1,m5zn.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2066.6666666666665
nfcore/viralrecon:2.1,z1d.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2066.6666666666665
nfcore/viralrecon:2.1,z1d.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2066.6666666666665
nfcore/viralrecon:2.1,m5.large,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2333.3333333333335
nfcore/viralrecon:2.1,d3.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2400.0
nfcore/viralrecon:2.1,r5.large,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2466.6666666666665
nfcore/viralrecon:2.1,m5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2466.6666666666665
nfcore/viralrecon:2.1,r5a.large,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2600.0
nfcore/viralrecon:2.1,r5.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2600.0
nfcore/viralrecon:2.1,m5.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2600.0
nfcore/viralrecon:2.1,r5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2600.0
nfcore/viralrecon:2.1,d3.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA,2666.6666666666665
