task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
775	1e/a29c42	2399424	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_30)	COMPLETED	0	2023-06-16 16:41:29.873	915ms	0ms	56.6%	3.1 MB	5.4 MB	117 KB	4.9 KB
774	b0/985ba9	2399377	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_23)	COMPLETED	0	2023-06-16 16:41:29.835	1s	0ms	29.4%	3 MB	5.4 MB	116.9 KB	4.9 KB
385	90/1fd8be	2398128	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_MINIA:MINIA (SAMPLE_19)	COMPLETED	0	2023-06-16 16:41:27.703	4.1s	3s	369.0%	374.7 MB	6.7 GB	177.7 MB	110.4 MB
778	5b/f1fbfe	2401150	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_11)	COMPLETED	0	2023-06-16 16:41:30.878	947ms	0ms	51.3%	3.2 MB	5.4 MB	117.1 KB	4.9 KB
776	6f/fc210c	2400684	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_02)	COMPLETED	0	2023-06-16 16:41:30.794	1.1s	0ms	48.2%	3 MB	5.4 MB	117 KB	4.9 KB
782	ac/b3bb0f	2402090	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_27)	COMPLETED	0	2023-06-16 16:41:31.830	1.1s	0ms	62.9%	6.6 MB	220.8 MB	2.7 MB	5.4 KB
780	43/0d14b2	2402144	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_19)	COMPLETED	0	2023-06-16 16:41:31.916	1.2s	0ms	70.3%	6.6 MB	220.8 MB	8.1 MB	5.4 KB
779	c2/10f085	2402812	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_33)	COMPLETED	0	2023-06-16 16:41:33.078	822ms	0ms	105.5%	3 MB	5.4 MB	117 KB	4.9 KB
788	9a/88efd2	2402725	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_34)	COMPLETED	0	2023-06-16 16:41:32.952	1s	0ms	94.8%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
789	a1/ef17d6	2403336	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_39)	COMPLETED	0	2023-06-16 16:41:33.906	849ms	0ms	68.1%	3.2 MB	5.4 MB	113.6 KB	4.9 KB
801	91/115fe8	2403979	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_36)	COMPLETED	0	2023-06-16 16:41:34.759	860ms	0ms	107.9%	3.1 MB	5.4 MB	117 KB	4.9 KB
792	8d/8ff108	2403394	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_06)	COMPLETED	0	2023-06-16 16:41:33.972	1.7s	1s	94.5%	6.6 MB	220.8 MB	50.2 MB	5.4 KB
446	d1/ca81a8	2397116	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE_29)	COMPLETED	0	2023-06-16 16:41:25.890	10.4s	8s	229.3%	1 GB	4.3 GB	95.7 MB	4.1 MB
804	fb/83b013	2404508	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_38)	COMPLETED	0	2023-06-16 16:41:35.713	845ms	0ms	61.5%	3.1 MB	5.4 MB	117 KB	4.9 KB
799	7e/96e3be	2404432	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_08)	COMPLETED	0	2023-06-16 16:41:35.623	2s	1s	93.8%	6.7 MB	220.8 MB	54.7 MB	5.4 KB
803	04/2f85d6	2405106	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_37)	COMPLETED	0	2023-06-16 16:41:36.563	1.1s	0ms	106.7%	3.1 MB	5.4 MB	117 KB	4.9 KB
794	a8/298935	2405655	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_35)	COMPLETED	0	2023-06-16 16:41:37.580	958ms	0ms	112.9%	3.1 MB	5.4 MB	117 KB	4.9 KB
810	34/15578c	2405771	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_05)	COMPLETED	0	2023-06-16 16:41:37.650	1.6s	0ms	96.2%	6.6 MB	220.8 MB	51.3 MB	5.4 KB
808	23/e6622a	2406304	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_42)	COMPLETED	0	2023-06-16 16:41:38.544	820ms	0ms	66.7%	3.1 MB	5.4 MB	117 KB	4.9 KB
805	66/c39e2a	2406701	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_40)	COMPLETED	0	2023-06-16 16:41:39.278	860ms	0ms	107.9%	3.2 MB	5.4 MB	116.9 KB	4.9 KB
802	0d/40d43d	2406757	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_29)	COMPLETED	0	2023-06-16 16:41:39.369	1.6s	1s	92.0%	6.6 MB	220.8 MB	47.4 MB	5.4 KB
812	40/38afb5	2407276	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_44)	COMPLETED	0	2023-06-16 16:41:40.142	967ms	0ms	87.7%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
811	ad/76ff10	2407894	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_13)	COMPLETED	0	2023-06-16 16:41:41.114	770ms	0ms	126.0%	3 MB	5.4 MB	774.4 KB	5.4 KB
806	3a/941cb5	2407815	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_09)	COMPLETED	0	2023-06-16 16:41:41.020	1.4s	0ms	88.1%	6.5 MB	220.8 MB	29 MB	5.4 KB
807	24/135f17	2408264	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_41)	COMPLETED	0	2023-06-16 16:41:41.889	995ms	0ms	110.3%	3.1 MB	5.4 MB	117 KB	4.9 KB
816	e2/cb2b2f	2408554	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_46)	COMPLETED	0	2023-06-16 16:41:42.407	950ms	0ms	106.7%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
815	3c/3a2233	2408954	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_14)	COMPLETED	0	2023-06-16 16:41:42.890	1.1s	0ms	80.8%	6.7 MB	220.8 MB	16.8 MB	5.4 KB
813	b7/934d0c	2409324	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_45)	COMPLETED	0	2023-06-16 16:41:43.363	817ms	0ms	58.2%	3.2 MB	5.4 MB	116.9 KB	4.9 KB
817	77/446eab	2409841	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_47)	COMPLETED	0	2023-06-16 16:41:44.185	740ms	0ms	54.9%	3.1 MB	5.4 MB	117 KB	4.9 KB
387	cf/182e59	2402049	NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_19)	COMPLETED	0	2023-06-16 16:41:31.799	13.6s	13s	691.3%	640.4 MB	11.7 GB	281.3 MB	212.7 MB
449	2b/c3a9a5	2404922	NFCORE_VIRALRECON:ILLUMINA:FASTQC (SAMPLE_09)	COMPLETED	0	2023-06-16 16:41:36.276	9.4s	8s	245.2%	706.9 MB	4.4 GB	71.8 MB	4.2 MB
809	d6/305537	2410198	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_43)	COMPLETED	0	2023-06-16 16:41:44.931	1s	0ms	118.5%	3.1 MB	5.4 MB	117 KB	4.9 KB
814	e6/f88454	2409737	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_32)	COMPLETED	0	2023-06-16 16:41:44.015	2s	1s	92.9%	6.5 MB	220.8 MB	52.2 MB	5.4 KB
819	10/70edfc	2410693	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_20)	COMPLETED	0	2023-06-16 16:41:45.963	1.4s	1s	74.3%	6.6 MB	220.8 MB	11.6 MB	5.4 KB
821	e7/6d60ee	2410742	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_28)	COMPLETED	0	2023-06-16 16:41:46.053	2.1s	1s	93.8%	6.6 MB	220.8 MB	48.3 MB	5.4 KB
818	ef/d74f20	2411516	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SAMPLE_48)	COMPLETED	0	2023-06-16 16:41:47.335	860ms	0ms	50.0%	3.1 MB	5.4 MB	116.9 KB	4.9 KB
820	74/e6321f	2411880	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SAMPLE_10)	COMPLETED	0	2023-06-16 16:41:48.120	1.7s	1s	91.2%	6.6 MB	220.8 MB	49.1 MB	5.4 KB
